Message ID,Error ID,PS4 Error Code,Message,English
1,2000,ERROR_CODE_SYSTEM_NOT_DEBUG,通信エラーが発生しました。,A communication error has occurred.
1,3000,ERROR_CODE_NET_WRITE_PACKET_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,3001,ERROR_CODE_NET_READ_PACKET_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,3002,ERROR_CODE_NET_NOT_CONNECT_DATAMANAGER,通信エラーが発生しました。,A communication error has occurred.
1,3003,ERROR_CODE_NET_DATAMANAGER_SEND_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,3004,ERROR_CODE_NET_NOT_CONNECT_QUEST_SERVER,通信エラーが発生しました。,A communication error has occurred.
1,3005,ERROR_CODE_NET_QUEST_SERVER_SEND_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,6000,ERROR_CODE_AUTH_PASSWORD_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,6001,ERROR_CODE_AUTH_INVALID_CHARACTER,通信エラーが発生しました。,A communication error has occurred.
1,6002,ERROR_CODE_AUTH_NOT_LOGIN,通信エラーが発生しました。,A communication error has occurred.
1,7000,ERROR_CODE_LOBBY_JOIN_NUM_OVER,"選択したロビーが満員です。
他のロビーを選択してください。",The lobby is full; Please select another lobby.
1,7001,ERROR_CODE_LOBBY_ALREADY_JOINED,通信エラーが発生しました。,A communication error has occurred.
1,7002,ERROR_CODE_LOBBY_INVALID_LOBBY_NO,通信エラーが発生しました。,A communication error has occurred.
1,7003,ERROR_CODE_LOBBY_DIFFERENT_VERSION,通信エラーが発生しました。,A communication error has occurred.
1,7004,ERROR_CODE_LOBBY_NOT_JOINED,通信エラーが発生しました。,A communication error has occurred.
1,7005,ERROR_CODE_LOBBY_FATAL_INDEX_ARRAY_OVER,通信エラーが発生しました。,A communication error has occurred.
1,7006,ERROR_CODE_LOBBY_FATAL_INVALID_ROOM_INDEX,通信エラーが発生しました。,A communication error has occurred.
1,7007,ERROR_CODE_LOBBY_FATAL_NOT_CREATED,通信エラーが発生しました。,A communication error has occurred.
1,8000,ERROR_CODE_PARTY_INTERNAL_ERROR,"パーティー、メンバーが見つかりませんでした。
すでに存在しないパーティー、メンバーの可能性があります。",
1,8001,ERROR_CODE_PARTY_CREATE_ERROR,通信エラーが発生しました。,A communication error has occurred.
1,8002,ERROR_CODE_PARTY_PARTY_NO_ERROR,"パーティー、メンバーが見つかりませんでした。
すでに存在しないパーティー、メンバーの可能性があります。",The party or the member was not found because neither the party or member currently exist
